企画 きかく 기획
両国 りょうこく 양국
歴史 れきし 역사
笑う わらう 웃다
仲良く なかよく 사이좋게
盗む ぬすむ 훔치다
年齢 ねんれい 연령
悩む なやむ 고민하다
塗る ぬる 바르다
残る のこる 남다
~倍 ばい ~배
発射 はっしゃ 발사
反対 はんたい 반대
配布 はいふ 배포
張り切り はりきり 기운이넘치다
判断 はんだん 판단
求める もとめる 구하다
物語 ものがたり 이야기
優勝 ゆうしょう 우승
焼ける やける 구워지다
家賃 やちん 집세
豊かな ゆたかな 풍요로운
~秒 ひょう ~초
比較的 ひかくてき 비교적
悲劇 ひげき 비극
評価 ひょうか 평가
舞台 ぶたい 무대
減る へる 줄다
法律 ほうりつ 법률
部分的 ぶぶんてき 부분적
貿易 ぼうえき 무역
星 ほし 별
認める みとめる 인정하다
面倒 めんどう 귀찮음
招く まねく 초대하다
迎える むかえる 맞이하다
急速に きゅうそくに 급속히
禁止 きんし 금지
工夫 くふう 궁리
供給 きょうきゅう 공급
草 くさ 풀
比べる くらべる 비교하다
記録 きろく 기록
配る くばる 나누어주다
警告 けいこく 경고
肩 かた 어깨
軽い かるい 가볍다
記事 きじ 기사
希望 きぼう 희망
家庭 かてい 가정
観察 かんさつ 관찰
技術 ぎじゅつ 기술
逆に ぎゃくに 반대로
角 かど 모퉁이
簡単 かんたん 간단함
帰宅 きたく 귀가
救助 きゅうじょ 구조
最大 さいだい 최대
左右 さゆう 좌우
実験 じっけん 실험
作物 さくもつ 농작물
参加 さんか 참가
刺す さす 찌르다
賛成 さんせい 찬성
静かに しずかに 조용히
珍しい めずらしい 드물다
破る やぶる 깨다
老人 ろうじん 노인
燃える もえる 타다
約束 やくそく 약속
夜中 よなか 한밤중
留学生 りゅうがくせい 유학생
列島 れっとう 열도
労働 ろうどう 노동
渡す わたす 건네다
戻す もどす 되돌리다
優しい やさしい 상냥하다
予報 よほう 예보
流行 りゅうこう 유행
恋愛 れんあい 연애
論文 ろんぶん 논문
沈む しずむ 가라앉다
姉妹 しまい 자매
住宅 じゅうたく 주택
出席 しゅっせき 출석
新鮮 しんせん 신선함
湿度 しつど 습도
集会 しゅうかい 집회
住民 じゅうみん 주민
順番 じゅんばん 순번
植物 しょくぶつ 식물
進歩 しんぽ 진보
死亡 しぼう 사망
習慣 しゅうかん 습관
首相 しゅしょう 수상
正面 しょうめん 정면
調べる しらべる 조사하다
人類学 じんるいがく 인류학
警察 けいさつ 경찰
血液 けつえき 혈액
権利 けんり 권리
鉱山 こうざん 광산
細かい こまかい 자세하다
欠点 けってん 결점
限定 げんてい 한정
交換 こうかん 교환
肯定的に こうていてきに 긍정적으로
結婚 けっこん 결혼
憲法 けんぽう 헌법
航空 こうくう 항공
呼吸 こきゅう 호흡
~際 さい ~때
評判 ひょうばん 평판
不規則 ふきそく 불규칙
分野 ぶんや 분야
募集 ぼしゅう 모집
満足 まんぞく 만족
虫 むし 벌레
封筒 ふうとう 봉투
普及 ふきゅう 보급
放送局 ほうそうきょく 방송국
守る まもる 지키다
深い ふかい 깊다
結ぶ むすぶ 묶다
服装 ふくそう 복장
豊富 ほうふ 풍부함
万一 まんいち 만일
実り みのり 결실
夢中 むちゅう 열중함
育つ そだつ 자라다
太陽 たいよう 태양
確かな たしかな 확실한
束 たば 다발
掃除 そうじ 청소
倒れる たおれる 쓰러지다
相談 そうだん 상담
耕す たがやす 경작하다
種 たね 씨
地域 ちいき 지역
姿 すがた 모습
生産 せいさん 생산
背負う せおう 짊어지다
全国的に ぜんこくてきに 전국적으로
鋭い するどい 날카롭다
晴天 せいてん 맑은하늘
接触 せっしょく 접촉
洗濯 せんたく 세탁
政府 せいふ 정부
絶対に ぜったいに 절대로
全部 ぜんぶ 전부
汗 あせ 땀
以内 いない 이내
飲酒 いんしゅ 음주
映る うつる 비치다
栄養分 えいようぶん 영양분
奥 おく 안쪽
覚える おぼえる 외우다
返す かえす 돌려주다
各国 かっこく 각국
余る あまる 남다
~一方 いっぽう ~하기만함
受ける うける 받다
腕 うで 팔
汚染 おせん 오염
折る おる 접다
抱える かかえる 안다
改める あらためる 고치다
印刷 いんさつ 인쇄
美しい うつくしい 아름답다
雨量 うりょう 강우량
お菓子 おかし 과자
恐れる おそれる 무서워하다
改良 かいりょう 개량
係員 かかりいん 담당자
重ねる かさねる 겹치다
都合 つごう 형편
独立 どくりつ 독립
図書館 どしょかん 도서관
似る にる 닮다
値段 ねだん 값
昇る のぼる 오르다
運び去る はこびさる 훔쳐가다
光 ひかり 빛
頂上 ちょうじょう 정상
続く つづく 계속되다
流す ながす 흘리다
並ぶ ならぶ 늘어서다
抜く ぬく 빼다
農業 のうぎょう 농업
乗り越える のりこえる 극복하다
働く はたらく 일하다
筆跡 ひっせき 필적
停車 でいしゃ 정차
閉じる とじる 닫다
眺める ながめる 바라보다
日常 にちじょう 일상
熱帯 ねったい 열대
農産物 のうさんぶつ 농산물
箱 はこ 상자
被害 ひがい 피해
平等 びょうどう 평등
